Correlation,Article 1,Article 2
15.9984,90246352,70257638
15.9984,70214559,30263245
15.9984,90256893,80331930
15.9984,30277959,90277961
15.9984,30263245,80331930
15.9984,30277959,80331930
15.9984,30263245,20257315
15.9984,70214559,70346932
15.9984,90256893,10257306
15.9984,30263245,10246308
15.9984,70214559,20207410
15.9984,30277959,10257306
15.9984,70214559,80331930
15.9984,30263245,20214566
15.9984,30263245,30214504
15.9984,30263245,70214559
15.9984,90246352,70246386
15.9984,90256893,20214566
15.998399999999998,40256895,10257306
15.998,214505,10257306
15.998,214505,70246386
15.998,214505,90246352
15.9952,30256891,70346932
15.9952,30256891,80331930
15.9952,30256891,70257638
15.9952,30256891,50214560
9.002699999999999,70277957,20207410
9.002699999999999,70277957,30214504
9.002699999999999,70277957,20246708
9.002699999999999,70277957,10246308
9.002699999999999,70277957,70257638
9.002699999999999,70277957,70256931
9.002699999999999,70277957,80331930
9.0018,30277959,70256931
9.0018,30277959,10357004
9.0018,30277959,20207410
9.0018,30263245,90246352
9.0018,30263245,90277961
9.0018,30277959,90246352
9.0018,30277959,70346932
9.0018,30277959,70246386
9.0018,30277959,70246683
9.0018,30263245,80214568
9.0012,30256891,10246308
9.0012,30256891,10257306
9.0012,30256891,20246708
9.0012,30256891,30214504
9.0012,30256891,70256931
9.0012,30256891,30404028
9.0012,30256891,50404032
9.0006,30214504,90256893
9.0006,30214504,70277957
9.0006,30214504,50214560
9.0006,30214504,30256891
9.0006,90277961,30263245
9.0003,214505,10357004
9.0003,214505,70277981
9.0003,214505,10368489
9.0003,214505,20201724
9.0003,214505,50357002
9.0003,214505,257298
9.0003,214505,10246308
9.0003,214505,70346932
9.0003,214505,40256895
9.0003,214505,70257638
9.0,20331198,40497828
9.0,70330945,20331198
9.0,70277981,214505
9.0,257298,90246352
9.0,40201723,20201724
9.0,70346932,70214564
9.0,30404028,50404032
9.0,20214566,257298
9.0,70246386,30277959
9.0,70346932,10368489
9.0,40211977,70277995
9.0,20207410,30277959
9.0,20331198,60505511
9.0,70246386,70214559
9.0,70346932,90256893
9.0,70346932,30277959
9.0,10368489,70346932
9.0,70346932,214505
9.0,90256893,70256931
9.0,20207410,70277957
9.0,10246308,70277957
9.0,10357004,214505
9.0,90256893,40256895
9.0,80331930,70277957
9.0,10246308,70214559
9.0,40497828,20331198
9.0,70214559,10368489
9.0,20214566,80331930
9.0,10246308,214505
9.0,80331930,20214566
9.0,40201723,70277981
9.0,40497828,60505511
9.0,50357002,214505
9.0,60396121,90511105
9.0,70214559,10246308
9.0,70214559,70246386
9.0,10246308,30256891
9.0,10357004,30277959
9.0,70214559,90246352
9.0,70214559,40256895
9.0,70277995,40211977
9.0,20257315,40256895
9.0,10368489,70214559
9.0,257298,214505
9.0,257298,20214566
9.0,50404032,30404028
9.0,70256931,70277957
9.0,70256931,30277959
9.0,50214560,30214504
9.0,60293566,40295528
9.0,60505511,40497828
9.0,70246683,30277959
9.0,90256893,70346932
9.0,80214568,90256893
9.0,80214568,30263245
9.0,90256893,80214568
9.0,20214566,70257638
9.0,20201724,40201723
9.0,50404032,30256891
9.0,70257638,20214566
9.0,90256893,30214504
9.0,20201724,214505
9.0,30404028,30256891
9.0,70257638,70277957
9.0,60505511,20331198
9.0,70257638,214505
9.0,70256931,90256893
9.0,70346932,40256895
9.0,90511105,60396121
9.0,10368489,214505
9.0,20246708,30256891
9.0,10257306,30256891
9.0,70256931,30256891
9.0,70277981,40201723
9.0,50214560,90246352
9.0,40295528,60293566
9.0,20331198,70330945
9.0,70214564,70346932
9.0,20246708,70277957
8.9991,90246352,257298
8.9991,90246352,30263245
8.9991,40256895,214505
8.9991,40256895,70346932
8.9991,40256895,90256893
8.9991,40256895,70214559
8.9991,90246352,50214560
8.9991,90246352,70214559
8.9991,40256895,20257315
8.9991,90246352,30277959
4.0014,214505,80256940
4.0014,214505,70529088
4.0014,214505,60529084
4.0014,214505,10446883
4.0014,214505,10446557
4.0014,214505,90190524
4.0014,214505,40201723
4.0014,214505,20246360
4.0008,90256893,70246386
4.0008,90256893,50357002
4.0008,90256893,10357004
4.0008,90256893,90190524
4.0008,90256893,60442383
4.0008,90256893,90246352
4.0008,90256893,10368489
4.0008,90256893,70277981
4.0008,70214559,60529084
4.0008,70214559,257298
4.0008,90256893,50330606
4.0008,70214559,70214564
4.0008,70214559,10357004
4.0008,90256893,80410055
4.0008,70214559,10257306
4.0008,90256893,40277992
4.0008,70214559,10446883
4.0008,70214559,90404822
4.0008,90256893,50214560
4.0008,90256893,70214564
4.0008,70214559,90277961
4.0008,90256893,10446883
4.0008,70214559,70257638
4.0008,70214559,20246360
4.0008,70214559,70256931
4.0008,90256893,60529084
4.0008,90256893,20201724
4.0008,70214559,60442383
4.0002,461379,80461380
4.0002,50278726,90458914
4.0002,70238541,70277957
4.0002,70330945,40497828
4.0002,10510299,90511105
4.0002,50404032,70257638
4.0002,60293566,90245946
4.0002,60293566,80261258
4.0002,60293566,90294512
4.0002,50277977,30263245
4.0002,50404032,20246708
4.0002,50404032,70404026
4.0002,50404032,70246386
4.0002,60509142,80256940
4.0002,50404032,70277957
4.0002,50404032,10211276
4.0002,50404032,90246352
4.0002,30404028,20246708
4.0002,50277977,70277981
4.0002,10446883,30256891
4.0002,10446883,10368489
4.0002,30404028,70404026
4.0002,30404028,70246386
4.0002,10446883,70246386
4.0002,30404028,70277957
4.0002,30404028,10211276
4.0002,10446883,80331930
4.0002,10446883,30263245
4.0002,30404028,90246352
4.0002,10446883,70346932
4.0002,50277977,20257315
4.0002,10446883,70214559
4.0002,30246722,40256895
4.0002,70330945,40331164
4.0002,30404028,70257638
4.0002,10446883,214505
4.0002,80429757,50471026
4.0002,30246722,70346932
4.0002,30246722,70214564
4.0002,70330945,60505511
4.0002,10446883,30277959
4.0002,70330945,60331200
4.0002,10446883,70277957
4.0002,70330945,10330948
4.0002,10446883,90256893
4.0002,70330945,330982
4.0002,40295528,90294512
4.0002,10368489,20214566
4.0002,10368489,80331930
4.0002,10368489,30256891
4.0002,10368489,60529084
4.0002,10368489,90256893
4.0002,20246360,214505
4.0002,10446883,60529084
4.0002,10368489,70277957
4.0002,10368489,30277959
4.0002,10368489,10446883
4.0002,40295528,80261258
4.0002,70246348,20201724
4.0002,40295528,90245946
4.0002,20246360,70277957
4.0002,40201723,214505
4.0002,60396121,10391772
4.0002,60396121,30409295
4.0002,60396121,60409294
4.0002,60396121,40510306
4.0002,60396121,50396094
4.0002,60396121,510308
4.0002,60396121,50494141
4.0002,60396121,30391766
4.0002,40201723,10277984
4.0002,60396121,40391836
4.0002,60396121,40456286
4.0002,10510299,70510300
4.0002,60246396,10246308
4.0002,10510299,40456286
4.0002,40201723,30256891
4.0002,40201723,70246348
4.0002,40201723,80331930
4.0002,10510299,40391836
4.0002,40205599,40327505
4.0002,90511105,60518486
4.0002,60396121,90391853
4.0002,10510299,445332
4.0002,90511105,70510300
4.0002,20246708,30404028
4.0002,20246360,70214559
4.0002,10277984,70246348
4.0002,10277984,20201724
4.0002,20246708,50404032
4.0002,20246708,70257638
4.0002,20246708,90246352
4.0002,257302,60263244
4.0002,10277984,40201723
4.0002,10331194,70331186
4.0002,20246708,70246386
4.0002,60396121,10510299
4.0002,10277984,70277981
4.0002,20246708,70404026
4.0002,20246708,20214566
4.0002,80524882,40205599
4.0002,60246396,30263245
4.0002,60263244,257302
4.0002,10510299,60518486
4.0002,60396121,60518486
4.0002,60396121,445332
4.0002,90511105,445332
4.0002,60396121,70510300
4.0002,90511105,10510299
4.0002,90511105,30391766
4.0002,90511105,30409295
4.0002,10510299,30409295
4.0002,70246348,70277981
4.0002,90511105,60409294
4.0002,10510299,60409294
4.0002,90511105,40510306
4.0002,90511105,50396094
4.0002,70256931,30263245
4.0002,10510299,40510306
4.0002,90511105,510308
4.0002,70256931,20214566
4.0002,90511105,50494141
4.0002,90511105,40391836
4.0002,90511105,10391772
4.0002,10510299,50396094
4.0002,70256931,70214559
4.0002,60246396,10257306
4.0002,10510299,510308
4.0002,20246360,20214566
4.0002,10510299,30391766
4.0002,10510299,50494141
4.0002,10510299,60396121
4.0002,60505511,70330945
4.0002,60505511,60331200
4.0002,70246348,10277984
4.0002,60505511,50330951
4.0002,20246360,30256891
4.0002,70246348,40201723
4.0002,60505511,90331166
4.0002,90511105,40456286
4.0002,40205599,80524882
4.0002,10510299,10391772
4.0002,10510299,90391853
4.0002,90511105,90391853
4.0,60529084,90256893
4.0,60529084,70214559
4.0,10391772,60409294
4.0,30409295,40391836
4.0,30409295,10391772
4.0,40391836,60396121
4.0,30409295,90511105
4.0,40391836,50396094
4.0,10391772,10510299
4.0,40391836,90391853
4.0,40391836,510308
4.0,10391772,90511105
4.0,70257638,20207410
4.0,40391836,30409295
4.0,60529084,10368489
4.0,30409295,40456286
4.0,40391836,50494141
4.0,40391836,40510306
4.0,10391772,60518486
4.0,40391836,90511105
4.0,40391836,60409294
4.0,70257638,50404032
4.0,10391772,445332
4.0,40391836,10510299
4.0,70257638,20246708
4.0,40391836,30391766
4.0,40507342,50474751
4.0,30409295,60409294
4.0,10391772,70510300
4.0,60529084,80331930
4.0,40391836,70510300
4.0,40391836,60518486
4.0,20201724,90256893
4.0,10391772,30391766
4.0,40391836,445332
4.0,70257638,70404026
4.0,70257638,30404028
4.0,30391766,90391853
4.0,30409295,10510299
4.0,70257638,70214559
4.0,30391766,40391836
4.0,30391766,90511105
4.0,30391766,60409294
4.0,30391766,10510299
4.0,20201724,10257306
4.0,30391766,70510300
4.0,30391766,60518486
4.0,30391766,445332
4.0,30391766,50494141
4.0,30391766,40510306
4.0,30391766,60396121
4.0,30391766,50396094
4.0,60529084,214505
4.0,40327505,40205599
4.0,30391766,30409295
4.0,30391766,510308
4.0,30391766,10391772
4.0,30391766,40456286
4.0,20201724,10277984
4.0,30409295,40510306
4.0,30409295,30391766
4.0,30409295,70510300
4.0,30409295,60518486
4.0,10391772,40456286
4.0,30409295,445332
4.0,60529084,30277959
4.0,30409295,50494141
4.0,50474751,40507342
4.0,30409295,50396094
4.0,70257638,30277959
4.0,30409295,60396121
4.0,60529084,10446883
4.0,30409295,510308
4.0,20201724,50357002
4.0,30409295,90391853
4.0,80261258,90245946
4.0,10391772,40391836
4.0,40456286,60396121
4.0,40391836,10391772
4.0,50396094,60396121
4.0,50396094,30391766
4.0,50396094,70510300
4.0,50396094,60518486
4.0,20257315,50277977
4.0,50396094,445332
4.0,50396094,50494141
4.0,50494141,40456286
4.0,50396094,40510306
4.0,50396094,30409295
4.0,40391836,40456286
4.0,20257315,10257306
4.0,50396094,510308
4.0,50396094,90391853
4.0,40510306,40456286
4.0,40510306,10391772
4.0,90190524,214505
4.0,60409294,50396094
4.0,90190524,90256893
4.0,50396094,10510299
4.0,50396094,60409294
4.0,50494141,10391772
4.0,50396094,90511105
4.0,50494141,90511105
4.0,50494141,60409294
4.0,50494141,10510299
4.0,50494141,30391766
4.0,50494141,70510300
4.0,50494141,60518486
4.0,50494141,445332
4.0,50494141,40510306
4.0,20257315,90277961
4.0,50494141,60396121
4.0,50494141,30409295
4.0,50494141,510308
4.0,50494141,90391853
4.0,50494141,50396094
4.0,50396094,40456286
4.0,50396094,10391772
4.0,50396094,40391836
4.0,60409294,90391853
4.0,40510306,40391836
4.0,20219936,60217228
4.0,40456286,10510299
4.0,40456286,70510300
4.0,257298,80331930
4.0,257298,70246386
4.0,257298,70214559
4.0,40456286,60518486
4.0,80261258,60293566
4.0,40456286,445332
4.0,80261258,40295528
4.0,257298,30277959
4.0,40456286,50494141
4.0,40456286,40510306
4.0,50494141,40391836
4.0,40456286,30409295
4.0,257298,70257638
4.0,40456286,510308
4.0,40456286,90391853
4.0,40456286,50396094
4.0,40456286,30391766
4.0,40456286,60409294
4.0,40510306,90511105
4.0,40456286,90511105
4.0,40510306,60409294
4.0,40510306,10510299
4.0,60217228,20219936
4.0,90458914,50278726
4.0,40510306,30391766
4.0,40510306,70510300
4.0,40510306,60518486
4.0,40510306,445332
4.0,40510306,50494141
4.0,40510306,60396121
4.0,40510306,30409295
4.0,40510306,510308
4.0,40510306,90391853
4.0,40510306,50396094
4.0,40456286,10391772
4.0,10391772,50494141
4.0,40456286,40391836
4.0,60529084,70346932
4.0,80410055,70277957
4.0,10391772,40510306
4.0,10246308,60246396
4.0,20201724,30263245
4.0,50330951,60505511
4.0,10246308,90246352
4.0,10246308,30214504
4.0,40497828,90331166
4.0,10246308,70246683
4.0,40331164,10330948
4.0,40331164,70330945
4.0,10246308,60442383
4.0,10330948,330982
4.0,40331164,20331198
4.0,10246308,50330606
4.0,10330948,20331198
4.0,10330948,40331164
4.0,10246308,50214560
4.0,70404026,50404032
4.0,50357002,70277981
4.0,20331198,10330948
4.0,10246308,10357004
4.0,70404026,70257638
4.0,10246308,80214568
4.0,40331164,330982
4.0,10391772,60396121
4.0,40497828,70330945
4.0,10257306,30214504
4.0,50395382,10056770
4.0,90331166,40497828
4.0,10257306,90277961
4.0,90331166,20331198
4.0,90331166,60505511
4.0,20201724,80331930
4.0,10257306,80331930
4.0,10257306,60246396
4.0,50330951,40497828
4.0,30219281,80275887
4.0,40497828,60331200
4.0,10257306,10357004
4.0,10257306,70214564
4.0,10257306,20201724
4.0,20201724,50246306
4.0,40497828,50330951
4.0,50330951,90331166
4.0,50330951,20331198
4.0,20331198,50330951
4.0,70246386,50404032
4.0,70404026,90246352
4.0,10246308,70214564
4.0,80256940,60509142
4.0,10357004,70214559
4.0,10357004,90256893
4.0,10357004,70277957
4.0,60331200,60505511
4.0,10357004,40256895
4.0,10357004,60442383
4.0,330982,10330948
4.0,50357002,90256893
4.0,50357002,30256891
4.0,330982,70330945
4.0,10330948,70330945
4.0,60331200,70330945
4.0,10357004,10257306
4.0,50357002,20201724
4.0,60331200,40497828
4.0,50246306,70277981
4.0,60331200,20331198
4.0,50357002,30263245
4.0,80256940,214505
4.0,50246306,20201724
4.0,10357004,30256891
4.0,70246386,257298
4.0,70246386,30263245
4.0,70246386,10446557
4.0,70404026,70277957
4.0,70246386,20207410
4.0,10246308,40256895
4.0,10246308,80410055
4.0,330982,20331198
4.0,70246386,90256893
4.0,70404026,30256891
4.0,70404026,30404028
4.0,70404026,70246386
4.0,70404026,20246708
4.0,330982,40331164
4.0,10357004,30263245
4.0,10357004,10246308
4.0,20331198,60331200
4.0,70246386,30404028
4.0,70246386,80331930
4.0,70246386,70529088
4.0,70246386,70404026
4.0,70246386,20246708
4.0,90331166,50330951
4.0,473546,40460815
4.0,40460815,473546
4.0,445332,40456286
4.0,510308,60396121
4.0,70529088,30256891
4.0,510308,30409295
4.0,70529088,70246386
4.0,510308,90391853
4.0,510308,50396094
4.0,70529088,20214566
4.0,70529088,10446557
4.0,70257638,30263245
4.0,445332,10391772
4.0,445332,50494141
4.0,445332,40391836
4.0,445332,90511105
4.0,445332,60409294
4.0,10446557,214505
4.0,80410055,30277959
4.0,445332,10510299
4.0,70257638,257298
4.0,445332,30391766
4.0,445332,70510300
4.0,510308,40510306
4.0,510308,50494141
4.0,80410055,80214568
4.0,510308,445332
4.0,10391772,30409295
4.0,10391772,510308
4.0,10391772,90391853
4.0,10391772,50396094
4.0,80410055,30256891
4.0,510308,40456286
4.0,510308,10391772
4.0,510308,40391836
4.0,510308,90511105
4.0,80410055,90256893
4.0,70529088,214505
4.0,510308,60409294
4.0,80410055,30214504
4.0,510308,10510299
4.0,80410055,50214560
4.0,510308,30391766
4.0,80410055,50330606
4.0,510308,70510300
4.0,510308,60518486
4.0,445332,60518486
4.0,445332,40510306
4.0,10257306,70277981
4.0,50214560,90256893
4.0,50330606,30277959
4.0,20201724,70246348
4.0,10211276,30256891
4.0,10211276,30404028
4.0,50330606,10246308
4.0,20331198,330982
4.0,50214560,30263245
4.0,50214560,10246308
4.0,50214560,80214568
4.0,20331198,40331164
4.0,445332,60396121
4.0,50214560,50330606
4.0,50214560,30277959
4.0,50214560,80410055
4.0,10257306,80214568
4.0,10257306,20257315
4.0,10257306,50357002
4.0,70331186,10331194
4.0,20331198,90331166
4.0,50357002,10257306
4.0,50330606,70277957
4.0,10211276,50404032
4.0,50330606,80214568
4.0,10056770,50395382
4.0,445332,30409295
4.0,445332,510308
4.0,10446557,30256891
4.0,80410055,10246308
4.0,445332,90391853
4.0,10446557,70246386
4.0,445332,50396094
4.0,10446557,70529088
4.0,70246683,10246308
4.0,10446557,20214566
4.0,20201724,30256891
4.0,70246683,30256891
4.0,50330606,30256891
4.0,90294512,60293566
4.0,50330606,90256893
4.0,50330606,30214504
4.0,50330606,50214560
4.0,50330606,80410055
4.0,90294512,40295528
4.0,70246386,10446883
4.0,10257306,70214559
4.0,60409294,40391836
4.0,20214566,70529088
4.0,70214564,70214559
4.0,70214564,30256891
4.0,20214566,10368489
4.0,70214564,10246308
4.0,20214566,90404822
4.0,70214564,20214566
4.0,90245946,80261258
4.0,70214564,30263245
4.0,40277992,70277957
4.0,20214566,20246708
4.0,40277992,90256893
4.0,90245946,60293566
4.0,20214566,70214564
4.0,90245946,40295528
4.0,20214566,70256931
4.0,20214566,40256895
4.0,70346932,30246722
4.0,70346932,10446883
4.0,70346932,60529084
4.0,70346932,80331930
4.0,324518,10443974
4.0,90404822,30277959
4.0,90404822,70277957
4.0,90404822,70214559
4.0,90404822,30256891
4.0,70214564,90256893
4.0,70214564,90277961
4.0,70214564,70277957
4.0,60409294,60518486
4.0,60409294,30409295
4.0,20214571,90277961
4.0,20214571,30214504
4.0,60409294,60396121
4.0,20214571,40256895
4.0,60409294,40510306
4.0,20214571,80214568
4.0,60409294,50494141
4.0,20214571,30263245
4.0,20214571,30277959
4.0,60409294,445332
4.0,60409294,70510300
4.0,70214564,30277959
4.0,60409294,30391766
4.0,60409294,10510299
4.0,60409294,90511105
4.0,60518486,90391853
4.0,60409294,10391772
4.0,60409294,40456286
4.0,60518486,50396094
4.0,20214566,10446557
4.0,20214566,20246360
4.0,70214564,10257306
4.0,70214564,30246722
4.0,70277981,10277984
4.0,90404822,20214566
4.0,90391853,40456286
4.0,60518486,40456286
4.0,70510300,10510299
4.0,70510300,30391766
4.0,70510300,60518486
4.0,70510300,445332
4.0,70510300,50494141
4.0,70510300,40510306
4.0,70510300,60396121
4.0,70510300,30409295
4.0,70510300,510308
4.0,70510300,90391853
4.0,70510300,50396094
4.0,60518486,10391772
4.0,70277981,30263245
4.0,60518486,40391836
4.0,60518486,90511105
4.0,60518486,60409294
4.0,60518486,10510299
4.0,60518486,30391766
4.0,60518486,70510300
4.0,60518486,445332
4.0,60518486,50494141
4.0,60518486,40510306
4.0,60518486,60396121
4.0,60518486,30409295
4.0,70510300,60409294
4.0,70510300,90511105
4.0,70277981,10257306
4.0,70277981,90256893
4.0,90391853,10391772
4.0,90391853,40391836
4.0,90391853,90511105
4.0,90391853,60409294
4.0,90391853,10510299
4.0,90391853,30391766
4.0,70277981,50357002
4.0,90391853,70510300
4.0,90391853,60518486
4.0,90391853,445332
4.0,90391853,50494141
4.0,90391853,40510306
4.0,70277981,50246306
4.0,70277981,30256891
4.0,90391853,60396121
4.0,90391853,30409295
4.0,70277981,70246348
4.0,70277981,80331930
4.0,90391853,510308
4.0,90391853,50396094
4.0,70510300,40456286
4.0,70510300,10391772
4.0,70277981,50277977
4.0,70510300,40391836
4.0,60409294,510308
4.0,60518486,510308
4.0,80461380,461379
4.0,50471026,80429757
3.9998,90277961,20214571
3.9998,30214504,10246308
3.9998,30214504,90277961
3.9998,90277961,30214504
3.9998,30214504,20214571
3.9998,90277961,70214564
3.9998,30214504,90246352
3.9998,30214504,10257306
3.9998,90277961,80214568
3.9998,90277961,10257306
3.9998,30214504,40256895
3.9998,30214504,80410055
3.9998,80275887,30219281
3.9998,30214504,50330606
3.9998,90277961,70214559
3.9998,90277961,20257315
3.9996,30263245,60442383
3.9996,30263245,50357002
3.9996,40256895,20214566
3.9996,30277959,257298
3.9996,40256895,10246308
3.9996,30263245,70214564
3.9996,40256895,80214568
3.9996,90246352,70404026
3.9996,40256895,30256891
3.9996,40256895,30246722
3.9996,30263245,70277981
3.9996,40256895,70277957
3.9996,20207410,70246386
3.9996,80331930,257298
3.9996,20207410,30263245
3.9996,40256895,30214504
3.9996,80331930,70277981
3.9996,40256895,20214571
3.9996,20207410,70257638
3.9996,30277959,60442383
3.9996,90246352,20207410
3.9996,30277959,10368489
3.9996,90246352,60442383
3.9996,30277959,50330606
3.9996,90246352,90256893
3.9996,30277959,90404822
3.9996,30263245,70256931
3.9996,30263245,20214571
3.9996,30277959,10446883
3.9996,20207410,90246352
3.9996,80331930,70346932
3.9996,90246352,30404028
3.9996,30277959,20214571
3.9996,80331930,10257306
3.9996,80331930,10446883
3.9996,30277959,50214560
3.9996,80331930,60529084
3.9996,80331930,40201723
3.9996,80331930,10368489
3.9996,80331930,20201724
3.9996,80331930,70246386
3.9996,40256895,10357004
3.9996,90246352,50404032
3.9996,30263245,20201724
3.9996,30263245,60246396
3.9996,30263245,70257638
3.9996,90246352,10246308
3.9996,80214568,30256891
3.9996,80214568,90277961
3.9996,60442383,10357004
3.9996,80214568,50330606
3.9996,80214568,70277957
3.9996,60442383,90246352
3.9996,30263245,10446883
3.9996,30263245,20207410
3.9996,30263245,50214560
3.9996,80214568,40256895
3.9996,80214568,50214560
3.9996,80214568,80410055
3.9996,60442383,30277959
3.9996,60442383,90256893
3.9996,80214568,10257306
3.9996,30263245,10357004
3.9996,60442383,70214559
3.9996,80214568,10246308
3.9996,10443974,324518
3.9996,80214568,20214571
3.9996,90246352,30214504
3.9996,30277959,70214564
3.9996,30263245,50277977
3.9996,30277959,60529084
3.9996,60442383,10246308
3.9996,30277959,80410055
3.9996,90246352,20246708
3.9996,30263245,70246386
3.9996,30277959,70257638
3.9996,60442383,30263245
3.9988,30256891,10211276
3.9988,30256891,80410055
3.9988,30256891,50357002
3.9988,30256891,40256895
3.9988,30256891,10446883
3.9988,30256891,70529088
3.9988,30256891,70277981
3.9988,30256891,80214568
3.9988,30256891,70404026
3.9988,30256891,90404822
3.9988,30256891,10357004
3.9988,30256891,10446557
3.9988,30256891,50330606
3.9988,30256891,10368489
3.9988,30256891,70214564
3.9988,30256891,20246360
3.9988,30256891,40201723
3.9988,30256891,70246683
3.9988,30256891,20201724
3.9984,70277957,10368489
3.9984,70277957,10446883
3.9984,70277957,30404028
3.9984,70277957,70238541
3.9984,70277957,10357004
3.9984,70277957,90404822
3.9984,70277957,50330606
3.9984,70277957,80214568
3.9984,70277957,70404026
3.9984,70277957,20246360
3.9984,70277957,70214564
3.9984,70277957,50404032
3.9984,70277957,40256895
3.9984,70277957,40277992
3.9984,70277957,80410055
1.001,30256891,80534372
1.001,30256891,40501892
1.001,30256891,80230224
1.001,30256891,30246388
1.001,30256891,392461
1.001,30256891,90429771
1.001,30256891,20519888
1.001,30256891,50308196
1.001,30256891,50335618
1.001,30256891,90277961
1.001,30256891,30275861
1.001,30256891,40211977
1.001,30256891,300386
1.001,30256891,20527732
1.001,30256891,40277992
1.001,30256891,50404027
1.001,30256891,10178601
1.001,30256891,90338417
1.001,30256891,70238541
1.001,30256891,20320802
1.001,30256891,50257253
1.001,30256891,246417
1.001,30256891,80509481
1.001,30256891,70534645
1.001,30256891,20484817
1.001,30256891,50518477
1.001,30256891,60533057
1.001,30256891,10333065
1.001,30256891,10203610
1.001,30256891,70403606
1.001,30256891,90529087
1.001,30256891,60257648
1.001,30256891,60529084
1.001,30256891,50334303
1.001,30256891,60263244
1.001,30256891,421185
1.001,30256891,338412
1.001,30256891,50246306
1.001,30256891,70277995
1.001,30256891,60403602
1.001,30256891,60246396
1.001,30256891,60342656
1.001,30256891,10529086
1.001,30256891,30460811
1.001,30256891,90434961
1.001,30256891,103343
1.001,30256891,257302
1.001,30256891,10277984
1.001,30256891,50518910
1.001,30256891,60344735
1.001,30256891,20329195
1.001,30256891,80257261
1.001,30256891,40458191
1.001,30256891,80214549
1.001,30256891,80458189
1.001,30256891,70246348
1.001,30256891,30246722
1.0008,30263245,60261103
1.0008,30263245,330982
1.0008,30263245,338412
1.0008,30277959,20246708
1.0008,30277959,10333065
1.0008,30263245,70246683
1.0008,30263245,20331198
1.0008,30263245,246417
1.0008,30277959,50293604
1.0008,30277959,70277995
1.0008,30277959,60273417
